user_id,event_time,event_type,product_id,category_id,user_session,price,device,browser,location,time_on_page
1023,2025-03-17 20:55:59,cart,98,4,25312,367.41,tablet,Safari,France,286
1187,2025-03-31 06:59:59,view,32,6,29589,564.59,tablet,Edge,Canada,72
1905,2025-03-21 12:19:59,view,25,5,18708,414.41,mobile,Edge,USA,103
1609,2025-03-27 10:03:59,purchase,53,10,22335,917.68,mobile,Edge,USA,200
1484,2025-03-14 09:17:59,view,40,1,10625,246.11,desktop,Safari,Germany,205
1523,2025-03-14 08:47:59,cart,23,5,22888,773.08,desktop,Safari,France,52
1023,2025-03-05 09:43:59,purchase,6,2,25312,332.83,mobile,Safari,India,231
1730,2025-03-19 13:12:59,purchase,4,2,10814,80.08,desktop,Firefox,Canada,288
1517,2025-03-16 02:43:59,view,70,6,34177,287.0,desktop,Safari,Canada,30
1752,2025-03-18 08:47:59,view,87,10,20257,670.98,desktop,Safari,Canada,90
1820,2025-03-25 21:25:59,cart,69,9,35209,124.72,tablet,Firefox,USA,234
1953,2025-03-23 12:32:59,cart,6,2,16502,655.68,mobile,Safari,France,19
1658,2025-03-22 13:14:59,view,94,3,11532,991.81,tablet,Edge,Canada,298
1988,2025-03-29 09:53:59,cart,50,7,21871,940.59,tablet,Firefox,USA,147
1138,2025-03-30 04:01:59,view,25,9,31554,591.61,mobile,Edge,Germany,222
1806,2025-03-30 21:18:59,view,57,1,48953,566.6,desktop,Safari,USA,78
1509,2025-03-14 23:10:59,view,15,8,11840,636.32,desktop,Firefox,USA,85
1927,2025-04-01 08:28:59,view,46,2,40825,625.41,mobile,Firefox,Germany,252
1040,2025-04-03 00:53:59,purchase,23,5,43544,839.33,mobile,Safari,Germany,128
1351,2025-03-06 22:50:59,cart,91,2,15760,410.45,desktop,Chrome,Canada,116
1047,2025-04-03 02:38:59,view,91,10,42613,529.45,mobile,Chrome,USA,22
1812,2025-03-20 01:49:59,purchase,56,6,42930,664.17,desktop,Safari,Germany,246
1488,2025-03-08 10:54:59,view,50,1,22790,478.33,desktop,Firefox,Canada,94
1174,2025-03-21 23:48:59,cart,99,8,20715,332.23,tablet,Firefox,USA,161
1351,2025-03-07 17:19:59,purchase,89,3,15760,177.66,tablet,Safari,Canada,187
1291,2025-03-28 10:03:59,view,51,4,38042,897.39,tablet,Safari,Germany,184
1458,2025-03-25 22:49:59,view,81,4,27122,453.88,mobile,Edge,Germany,45
1398,2025-03-08 19:42:59,view,74,8,43720,219.16,desktop,Chrome,France,231
1302,2025-03-06 18:04:59,view,65,4,19600,855.69,mobile,Firefox,Germany,136
1453,2025-03-10 05:23:59,purchase,25,2,10762,992.65,desktop,Chrome,France,84
1382,2025-03-27 09:01:59,view,1,6,48328,993.68,tablet,Edge,France,212
1568,2025-03-23 14:07:59,view,15,5,35025,592.82,tablet,Chrome,UK,34
1948,2025-04-02 03:15:59,view,52,9,37428,637.4,desktop,Edge,Canada,279
1528,2025-03-22 00:54:59,purchase,19,2,34320,23.75,tablet,Firefox,France,6
1930,2025-03-25 05:51:59,view,64,9,10845,771.63,desktop,Safari,India,78
1000,2025-04-02 16:26:59,view,86,1,25831,838.01,desktop,Chrome,UK,64
1747,2025-03-25 14:20:59,view,97,8,35415,614.56,desktop,Firefox,USA,39
1554,2025-04-01 18:11:59,view,78,3,42775,786.68,tablet,Edge,UK,226
1743,2025-04-03 07:14:59,cart,38,4,24073,353.79,desktop,Firefox,USA,146
1996,2025-04-02 03:20:59,view,97,10,22096,507.79,tablet,Safari,Canada,121
1576,2025-04-01 04:37:59,view,93,2,16067,316.37,mobile,Chrome,India,76
1104,2025-03-16 21:57:59,view,15,5,49773,888.14,mobile,Chrome,Germany,191
1678,2025-03-13 06:54:59,view,19,3,23802,167.36,tablet,Safari,Germany,237
1054,2025-03-27 17:47:59,purchase,45,5,43723,104.19,desktop,Firefox,France,245
1356,2025-03-27 15:55:59,view,10,5,16337,532.59,tablet,Firefox,Canada,133
1666,2025-03-30 22:50:59,view,97,8,30395,33.66,tablet,Chrome,Canada,5
1501,2025-03-10 12:23:59,cart,63,8,16498,36.65,desktop,Chrome,Germany,216
1238,2025-03-03 20:24:59,view,29,7,32778,124.19,mobile,Firefox,USA,171
1443,2025-03-08 19:12:59,view,73,9,36433,209.38,tablet,Edge,France,203
1323,2025-03-07 06:01:59,view,75,3,29808,597.84,tablet,Firefox,India,47
1188,2025-03-04 17:59:59,view,61,8,44265,853.31,desktop,Edge,France,248
1705,2025-03-05 11:44:59,cart,53,3,48163,254.81,desktop,Firefox,Germany,26
1501,2025-03-18 15:23:59,purchase,5,5,16498,656.4,tablet,Edge,Germany,24
1024,2025-03-31 07:36:59,view,26,2,22284,71.71,tablet,Firefox,France,175
1109,2025-03-17 02:43:59,purchase,60,4,30651,917.39,desktop,Chrome,UK,69
1245,2025-03-11 04:25:59,view,31,6,22266,854.85,mobile,Edge,Germany,158
1747,2025-03-19 01:25:59,cart,99,3,35415,876.84,tablet,Firefox,India,299
1482,2025-03-27 15:56:59,view,88,10,25195,483.8,desktop,Firefox,Germany,156
1705,2025-03-23 17:02:59,purchase,85,1,48163,651.75,tablet,Firefox,France,273
1338,2025-03-14 10:38:59,cart,92,3,26120,189.04,desktop,Chrome,USA,52
1197,2025-03-31 22:43:59,purchase,92,3,48471,301.62,desktop,Firefox,USA,24
1613,2025-03-16 14:39:59,view,39,6,23561,847.75,tablet,Firefox,UK,91
1441,2025-03-05 02:39:59,cart,8,6,12688,433.43,tablet,Safari,France,154
1469,2025-03-21 15:58:59,view,17,10,31297,173.33,mobile,Edge,Germany,232
1621,2025-03-23 01:36:59,view,62,5,18897,157.07,mobile,Safari,UK,208
1570,2025-03-28 09:20:59,view,33,6,46512,960.81,tablet,Edge,USA,7
1135,2025-03-14 14:30:59,purchase,66,10,48613,279.33,tablet,Firefox,USA,286
1115,2025-03-23 16:51:59,cart,76,4,48879,619.01,mobile,Firefox,Germany,59
1023,2025-03-28 17:41:59,view,48,2,27879,967.23,mobile,Firefox,France,230
1799,2025-03-31 09:44:59,view,4,7,43806,800.61,desktop,Edge,Germany,118
1441,2025-03-10 18:48:59,purchase,26,4,12688,787.88,mobile,Edge,UK,294
1890,2025-03-15 04:21:59,purchase,27,6,23980,656.59,mobile,Edge,India,22
1058,2025-03-30 18:52:59,cart,97,2,36592,951.97,mobile,Safari,France,175
1299,2025-03-04 16:35:59,view,96,6,39951,484.22,mobile,Chrome,Canada,281
1111,2025-03-18 13:57:59,view,34,10,19080,122.45,tablet,Edge,France,267
1728,2025-03-31 03:33:59,purchase,47,4,10866,441.65,mobile,Firefox,India,157
1661,2025-03-05 10:01:59,view,13,3,18227,194.65,mobile,Chrome,India,109
1424,2025-04-02 13:29:59,view,5,1,32796,655.13,desktop,Chrome,India,17
1003,2025-03-12 15:05:59,view,69,9,40294,94.88,mobile,Chrome,India,81
1972,2025-03-09 02:44:59,cart,69,3,12939,508.49,mobile,Safari,UK,19
1349,2025-03-17 02:24:59,cart,70,3,15742,100.15,mobile,Firefox,France,106
1003,2025-03-21 04:01:59,view,12,2,27808,995.86,desktop,Chrome,Germany,285
1274,2025-03-26 22:44:59,purchase,47,5,27032,213.77,mobile,Edge,India,29
1349,2025-03-05 12:51:59,purchase,25,1,15742,341.4,mobile,Firefox,Germany,105
1945,2025-03-11 03:21:59,view,23,10,26098,667.14,desktop,Chrome,France,227
1830,2025-03-06 07:42:59,view,52,8,29639,481.49,tablet,Safari,USA,197
